Promedio de Valor,Etiquetas de columna,,,,,,,,,,
Etiquetas de fila,1,2,3,4,5,6,7,8,9,10,Total general
/bSensor_0,27.85,39.74,28.42,15.72,45.73,29.21,33.57,31.68,36.69,34.49,30.87
/bSensor_1,25.39,41.81,24.50,13.37,33.00,28.52,36.76,35.88,45.48,29.94,30.34
/bSensor_2,25.40,9.71,17.17,23.00,29.75,14.00,43.67,10.48,32.44,10.33,18.41
/bSensor_3,25.05,13.00,16.45,16.69,35.53,29.00,40.14,10.81,21.40,,24.74
/bSensor_4,18.80,36.31,17.13,20.02,37.69,33.92,35.43,24.92,36.38,33.62,25.83
/bSensor_5,36.00,28.50,11.57,31.57,46.63,7.00,,11.28,12.26,24.75,16.77
Total general,25.18,36.77,19.14,16.98,39.67,29.79,37.40,20.68,34.26,29.79,26.58
